iter 680: loss 1.5992, time 406.84ms, mfu 0.87%
iter 690: loss 1.5434, time 412.03ms, mfu 0.87%
iter 700: loss 1.5998, time 407.81ms, mfu 0.88%
iter 710: loss 1.5748, time 409.43ms, mfu 0.88%
iter 720: loss 1.5816, time 407.46ms, mfu 0.89%
iter 730: loss 1.5700, time 409.68ms, mfu 0.89%
iter 740: loss 1.5584, time 400.76ms, mfu 0.89%
iter 750: loss 1.5643, time 407.72ms, mfu 0.89%
iter 760: loss 1.5399, time 407.85ms, mfu 0.90%
iter 770: loss 1.5233, time 407.40ms, mfu 0.90%
iter 780: loss 1.4995, time 407.27ms, mfu 0.90%
iter 790: loss 1.5212, time 407.73ms, mfu 0.90%
iter 800: loss 1.5246, time 411.05ms, mfu 0.90%
iter 810: loss 1.5313, time 408.04ms, mfu 0.90%
iter 820: loss 1.5199, time 408.61ms, mfu 0.90%
iter 830: loss 1.5160, time 408.51ms, mfu 0.91%
iter 840: loss 1.5336, time 408.31ms, mfu 0.91%
iter 850: loss 1.5006, time 406.70ms, mfu 0.91%
iter 860: loss 1.5153, time 408.20ms, mfu 0.91%
iter 870: loss 1.4926, time 406.95ms, mfu 0.91%
iter 880: loss 1.5110, time 407.99ms, mfu 0.91%
iter 890: loss 1.5174, time 407.12ms, mfu 0.91%
iter 900: loss 1.5024, time 409.70ms, mfu 0.91%
iter 910: loss 1.4244, time 407.76ms, mfu 0.91%
iter 920: loss 1.4861, time 408.19ms, mfu 0.91%
iter 930: loss 1.5095, time 408.80ms, mfu 0.91%
iter 940: loss 1.4536, time 409.61ms, mfu 0.91%
iter 950: loss 1.4343, time 408.43ms, mfu 0.91%
iter 960: loss 1.4878, time 409.34ms, mfu 0.91%
iter 970: loss 1.4560, time 423.65ms, mfu 0.91%
iter 980: loss 1.4098, time 411.70ms, mfu 0.91%
iter 990: loss 1.4558, time 407.69ms, mfu 0.91%
step 1000: train loss 1.3659, val loss 1.5771
saving checkpoint to rsi/runs/r1-data-full
iter 1000: loss 1.4337, time 42238.62ms, mfu 0.82%
iter 1010: loss 1.4441, time 407.12ms, mfu 0.83%
iter 1020: loss 1.4412, time 408.93ms, mfu 0.84%
iter 1030: loss 1.4501, time 408.75ms, mfu 0.84%
iter 1040: loss 1.4119, time 408.95ms, mfu 0.85%
iter 1050: loss 1.3982, time 409.08ms, mfu 0.86%
iter 1060: loss 1.4301, time 409.42ms, mfu 0.86%
iter 1070: loss 1.4166, time 410.96ms, mfu 0.87%
iter 1080: loss 1.4140, time 408.78ms, mfu 0.87%
iter 1090: loss 1.4861, time 410.46ms, mfu 0.88%
iter 1100: loss 1.4302, time 410.87ms, mfu 0.88%
iter 1110: loss 1.4161, time 413.74ms, mfu 0.88%
iter 1120: loss 1.4099, time 408.14ms, mfu 0.88%
iter 1130: loss 1.4175, time 408.13ms, mfu 0.89%
iter 1140: loss 1.3793, time 407.06ms, mfu 0.89%
iter 1150: loss 1.4010, time 407.61ms, mfu 0.89%
iter 1160: loss 1.4173, time 406.01ms, mfu 0.90%
iter 1170: loss 1.3819, time 405.67ms, mfu 0.90%
iter 1180: loss 1.4251, time 404.48ms, mfu 0.90%
iter 1190: loss 1.4066, time 404.37ms, mfu 0.90%
iter 1200: loss 1.4008, time 402.67ms, mfu 0.90%
iter 1210: loss 1.3868, time 403.09ms, mfu 0.91%
iter 1220: loss 1.3652, time 402.76ms, mfu 0.91%
iter 1230: loss 1.3643, time 401.83ms, mfu 0.91%
iter 1240: loss 1.3969, time 401.82ms, mfu 0.91%
iter 1250: loss 1.3899, time 399.71ms, mfu 0.91%
iter 1260: loss 1.3647, time 397.59ms, mfu 0.92%
iter 1270: loss 1.3478, time 398.65ms, mfu 0.92%
iter 1280: loss 1.3683, time 398.69ms, mfu 0.92%
iter 1290: loss 1.3563, time 399.16ms, mfu 0.92%
iter 1300: loss 1.3795, time 397.24ms, mfu 0.92%
iter 1310: loss 1.3604, time 396.51ms, mfu 0.93%
iter 1320: loss 1.3898, time 395.98ms, mfu 0.93%
iter 1330: loss 1.3523, time 395.40ms, mfu 0.93%
iter 1340: loss 1.4033, time 394.65ms, mfu 0.93%
iter 1350: loss 1.3939, time 394.33ms, mfu 0.93%
iter 1360: loss 1.3838, time 395.59ms, mfu 0.93%
iter 1370: loss 1.3439, time 394.36ms, mfu 0.93%
iter 1380: loss 1.3291, time 393.30ms, mfu 0.94%
iter 1390: loss 1.2976, time 395.44ms, mfu 0.94%
iter 1400: loss 1.3225, time 393.85ms, mfu 0.94%
iter 1410: loss 1.3300, time 403.32ms, mfu 0.94%
iter 1420: loss 1.3780, time 410.40ms, mfu 0.93%
iter 1430: loss 1.3408, time 399.65ms, mfu 0.93%
iter 1440: loss 1.3498, time 397.27ms, mfu 0.93%
iter 1450: loss 1.3531, time 393.27ms, mfu 0.94%
iter 1460: loss 1.3477, time 391.88ms, mfu 0.94%
iter 1470: loss 1.3224, time 391.69ms, mfu 0.94%
iter 1480: loss 1.3640, time 391.21ms, mfu 0.94%
iter 1490: loss 1.3437, time 391.15ms, mfu 0.94%
step 1500: train loss 1.2676, val loss 1.5140
saving checkpoint to rsi/runs/r1-data-full
iter 1500: loss 1.3254, time 40311.51ms, mfu 0.85%
iter 1510: loss 1.3589, time 392.97ms, mfu 0.86%
iter 1520: loss 1.3493, time 388.73ms, mfu 0.87%
iter 1530: loss 1.3217, time 388.09ms, mfu 0.88%
iter 1540: loss 1.3249, time 387.87ms, mfu 0.89%
iter 1550: loss 1.2971, time 390.11ms, mfu 0.89%
iter 1560: loss 1.3037, time 387.80ms, mfu 0.90%
iter 1570: loss 1.3305, time 385.05ms, mfu 0.91%
iter 1580: loss 1.3296, time 388.30ms, mfu 0.91%
iter 1590: loss 1.3253, time 388.75ms, mfu 0.92%
iter 1600: loss 1.3565, time 392.01ms, mfu 0.92%
iter 1610: loss 1.3124, time 392.41ms, mfu 0.92%
iter 1620: loss 1.2994, time 387.81ms, mfu 0.93%
iter 1630: loss 1.3254, time 388.26ms, mfu 0.93%
iter 1640: loss 1.3494, time 386.90ms, mfu 0.93%
iter 1650: loss 1.3075, time 381.99ms, mfu 0.94%
iter 1660: loss 1.3294, time 388.01ms, mfu 0.94%
iter 1670: loss 1.3086, time 387.56ms, mfu 0.94%
iter 1680: loss 1.3522, time 387.32ms, mfu 0.94%
iter 1690: loss 1.3230, time 387.06ms, mfu 0.95%
iter 1700: loss 1.3127, time 389.37ms, mfu 0.95%
iter 1710: loss 1.2809, time 386.54ms, mfu 0.95%
iter 1720: loss 1.2942, time 387.95ms, mfu 0.95%
iter 1730: loss 1.2820, time 391.99ms, mfu 0.95%
iter 1740: loss 1.3172, time 409.22ms, mfu 0.95%
iter 1750: loss 1.3354, time 384.50ms, mfu 0.95%
iter 1760: loss 1.3252, time 386.43ms, mfu 0.95%
iter 1770: loss 1.2981, time 386.65ms, mfu 0.95%
iter 1780: loss 1.2724, time 387.98ms, mfu 0.95%
iter 1790: loss 1.3349, time 385.45ms, mfu 0.95%
