Overriding config with projects/shakespeare/config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# The base config for a new experiment round on the shared core engine. Run from
# the repo root, e.g.:
#   uv run python core/nanogpt_core/train.py \
#       projects/shakespeare/config/train_shakespeare_mac.py \
#       --out_dir=projects/shakespeare/runs/r1
#
# Sets device='mps' and compile=False, the two changes needed to train on a Mac
# instead of an NVIDIA GPU. (Released versions carry their own frozen config.py
# under models/<version>/; this file is for running new experiment rounds.)

out_dir = 'projects/shakespeare/runs/out-shakespeare-char'
data_root = 'projects/shakespeare/data'  # where prepare.py writes <dataset>/*.bin
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: out_dir = projects/shakespeare/runs/r5-xl-bpe4k
Overriding: dataset = shakespeare_xl_bpe4k
tokens per iteration will be: 16,384
found vocab_size = 4096 (inside projects/shakespeare/data/shakespeare_xl_bpe4k/meta.pkl)
Initializing a new model from scratch
number of parameters: 12.19M
num decayed tensors: 25, non-decayed: 13
using fused AdamW: False
step 0: train loss 8.3421, val loss 8.3535
iter 710: loss 7.4327, time 323.42ms, mfu 1.29%
iter 720: loss 6.8743, time 321.95ms, mfu 1.29%
iter 730: loss 7.2934, time 322.94ms, mfu 1.29%
iter 740: loss 7.1689, time 322.72ms, mfu 1.29%
step 750: train loss 7.0242, val loss 7.0907
iter 750: loss 7.0707, time 35263.70ms, mfu 1.17%
iter 760: loss 7.1375, time 324.44ms, mfu 1.18%
iter 770: loss 7.1882, time 323.88ms, mfu 1.19%
iter 780: loss 7.2422, time 324.16ms, mfu 1.20%
iter 790: loss 7.3419, time 334.26ms, mfu 1.21%
iter 800: loss 7.0970, time 322.58ms, mfu 1.22%
iter 810: loss 7.3776, time 325.01ms, mfu 1.23%
iter 820: loss 6.9931, time 325.35ms, mfu 1.23%
iter 830: loss 7.1921, time 332.46ms, mfu 1.24%
iter 840: loss 7.0926, time 331.90ms, mfu 1.24%
iter 850: loss 6.8852, time 352.44ms, mfu 1.24%
iter 860: loss 7.3244, time 347.87ms, mfu 1.23%
iter 870: loss 7.0381, time 337.78ms, mfu 1.23%
iter 880: loss 7.2038, time 343.34ms, mfu 1.23%
iter 890: loss 7.1405, time 326.96ms, mfu 1.24%
iter 900: loss 7.3545, time 327.25ms, mfu 1.24%
iter 910: loss 7.5470, time 324.64ms, mfu 1.25%
iter 920: loss 7.4335, time 325.98ms, mfu 1.25%
iter 930: loss 7.4256, time 328.93ms, mfu 1.26%
iter 940: loss 7.5715, time 323.95ms, mfu 1.26%
iter 950: loss 7.1941, time 323.01ms, mfu 1.27%
iter 960: loss 7.3697, time 324.19ms, mfu 1.27%
iter 970: loss 7.4168, time 322.54ms, mfu 1.27%
iter 980: loss 7.2018, time 322.03ms, mfu 1.28%
iter 990: loss 7.0925, time 325.02ms, mfu 1.28%
step 1000: train loss 7.4374, val loss 7.3267
iter 1000: loss 7.5144, time 35442.59ms, mfu 1.15%
iter 1010: loss 8.0817, time 326.85ms, mfu 1.17%
iter 1020: loss 7.7060, time 325.48ms, mfu 1.18%
iter 1030: loss 7.5436, time 337.25ms, mfu 1.19%
iter 1040: loss 7.4394, time 327.78ms, mfu 1.20%
iter 1050: loss 7.7766, time 330.38ms, mfu 1.20%
iter 1060: loss 8.0132, time 326.11ms, mfu 1.21%
iter 1070: loss 7.5519, time 324.60ms, mfu 1.22%
iter 1080: loss 8.2278, time 326.21ms, mfu 1.23%
iter 1090: loss 7.8185, time 322.84ms, mfu 1.24%
iter 1100: loss 7.4088, time 322.30ms, mfu 1.24%
iter 1110: loss 7.4970, time 323.96ms, mfu 1.25%
iter 1120: loss 7.8782, time 323.08ms, mfu 1.25%
iter 1130: loss 7.5636, time 324.00ms, mfu 1.26%
iter 1140: loss 7.6697, time 321.69ms, mfu 1.26%
iter 1150: loss 7.7573, time 324.34ms, mfu 1.27%
iter 1160: loss 8.0401, time 322.98ms, mfu 1.27%
iter 1170: loss 7.5103, time 322.89ms, mfu 1.27%
iter 1180: loss 7.8434, time 324.10ms, mfu 1.28%
iter 1190: loss 7.5299, time 322.03ms, mfu 1.28%
iter 1200: loss 8.0515, time 320.82ms, mfu 1.28%
iter 1210: loss 7.8010, time 323.96ms, mfu 1.29%
iter 1220: loss 8.4580, time 321.59ms, mfu 1.29%
iter 1230: loss 7.8724, time 337.31ms, mfu 1.28%
iter 1240: loss 7.8239, time 326.64ms, mfu 1.28%
step 1250: train loss 7.5262, val loss 7.6246
iter 1250: loss 7.4645, time 35745.17ms, mfu 1.16%
iter 1260: loss 7.3150, time 324.67ms, mfu 1.17%
iter 1270: loss 7.6567, time 323.71ms, mfu 1.18%
iter 1280: loss 7.7241, time 322.49ms, mfu 1.20%
iter 1290: loss 8.4735, time 322.87ms, mfu 1.21%
iter 1300: loss 8.6481, time 324.73ms, mfu 1.22%
iter 1310: loss 8.1974, time 338.65ms, mfu 1.22%
iter 1320: loss 8.4165, time 338.14ms, mfu 1.22%
iter 1330: loss 7.9764, time 324.40ms, mfu 1.23%
iter 1340: loss 7.8697, time 331.43ms, mfu 1.23%
iter 1350: loss 7.7024, time 322.77ms, mfu 1.24%
iter 1360: loss 7.6566, time 323.85ms, mfu 1.25%
iter 1370: loss 8.0716, time 324.05ms, mfu 1.25%
iter 1380: loss 7.8791, time 358.85ms, mfu 1.24%
iter 1390: loss 7.6379, time 335.36ms, mfu 1.25%
iter 1400: loss 7.9984, time 322.20ms, mfu 1.25%
iter 1410: loss 8.3759, time 325.26ms, mfu 1.26%
iter 1420: loss 8.1699, time 326.18ms, mfu 1.26%
iter 1430: loss 8.3357, time 332.58ms, mfu 1.26%
iter 1440: loss 7.8226, time 330.01ms, mfu 1.26%
iter 1450: loss 7.9785, time 328.38ms, mfu 1.26%
iter 1460: loss 8.0025, time 327.02ms, mfu 1.27%
iter 1470: loss 7.7926, time 333.07ms, mfu 1.27%
iter 1480: loss 8.7467, time 325.48ms, mfu 1.27%
iter 1490: loss 8.4351, time 323.39ms, mfu 1.27%
step 1500: train loss 7.9380, val loss 7.7954
iter 1500: loss 8.2628, time 35614.84ms, mfu 1.15%
iter 1510: loss 8.0466, time 325.07ms, mfu 1.16%
iter 1520: loss 8.0829, time 321.84ms, mfu 1.18%
iter 1530: loss 8.2022, time 322.47ms, mfu 1.19%
