iter 680: loss 1.4971, time 352.44ms, mfu 1.08%
iter 690: loss 1.5012, time 354.09ms, mfu 1.08%
iter 700: loss 1.4710, time 357.58ms, mfu 1.08%
iter 710: loss 1.4584, time 354.06ms, mfu 1.07%
iter 720: loss 1.4775, time 358.23ms, mfu 1.07%
iter 730: loss 1.4589, time 359.66ms, mfu 1.07%
iter 740: loss 1.4672, time 358.81ms, mfu 1.06%
iter 750: loss 1.4207, time 360.43ms, mfu 1.06%
iter 760: loss 1.4726, time 358.54ms, mfu 1.06%
iter 770: loss 1.4207, time 363.98ms, mfu 1.06%
iter 780: loss 1.4647, time 361.95ms, mfu 1.05%
iter 790: loss 1.4371, time 366.83ms, mfu 1.05%
iter 800: loss 1.4036, time 363.18ms, mfu 1.05%
iter 810: loss 1.4181, time 366.73ms, mfu 1.04%
iter 820: loss 1.4122, time 363.23ms, mfu 1.04%
iter 830: loss 1.4172, time 370.10ms, mfu 1.04%
iter 840: loss 1.3881, time 365.30ms, mfu 1.04%
iter 850: loss 1.3912, time 368.71ms, mfu 1.03%
iter 860: loss 1.3802, time 371.46ms, mfu 1.03%
iter 870: loss 1.3943, time 372.92ms, mfu 1.03%
iter 880: loss 1.3681, time 375.27ms, mfu 1.03%
iter 890: loss 1.4063, time 372.17ms, mfu 1.02%
iter 900: loss 1.3508, time 380.86ms, mfu 1.02%
iter 910: loss 1.3869, time 377.08ms, mfu 1.02%
iter 920: loss 1.3632, time 376.23ms, mfu 1.01%
iter 930: loss 1.3797, time 385.21ms, mfu 1.01%
iter 940: loss 1.3707, time 377.66ms, mfu 1.01%
iter 950: loss 1.3901, time 386.70ms, mfu 1.00%
iter 960: loss 1.3620, time 379.47ms, mfu 1.00%
iter 970: loss 1.3489, time 385.33ms, mfu 1.00%
iter 980: loss 1.3153, time 394.83ms, mfu 0.99%
iter 990: loss 1.3289, time 376.77ms, mfu 0.99%
step 1000: train loss 1.2571, val loss 1.6235
saving checkpoint to rsi/runs/r1-data-small
iter 1000: loss 1.3399, time 40163.25ms, mfu 0.89%
iter 1010: loss 1.3357, time 400.47ms, mfu 0.90%
iter 1020: loss 1.3538, time 395.68ms, mfu 0.90%
iter 1030: loss 1.3389, time 392.01ms, mfu 0.91%
iter 1040: loss 1.3196, time 394.39ms, mfu 0.91%
iter 1050: loss 1.3278, time 391.91ms, mfu 0.91%
iter 1060: loss 1.3371, time 385.98ms, mfu 0.92%
iter 1070: loss 1.3383, time 393.76ms, mfu 0.92%
iter 1080: loss 1.3267, time 386.79ms, mfu 0.93%
iter 1090: loss 1.3221, time 402.22ms, mfu 0.93%
iter 1100: loss 1.3070, time 385.65ms, mfu 0.93%
iter 1110: loss 1.2815, time 386.44ms, mfu 0.93%
iter 1120: loss 1.3352, time 399.26ms, mfu 0.93%
iter 1130: loss 1.2841, time 390.14ms, mfu 0.94%
iter 1140: loss 1.3547, time 389.90ms, mfu 0.94%
iter 1150: loss 1.2719, time 394.90ms, mfu 0.94%
iter 1160: loss 1.3055, time 389.54ms, mfu 0.94%
iter 1170: loss 1.3095, time 396.13ms, mfu 0.94%
iter 1180: loss 1.2891, time 401.19ms, mfu 0.94%
iter 1190: loss 1.2850, time 393.53ms, mfu 0.94%
iter 1200: loss 1.2901, time 395.86ms, mfu 0.94%
iter 1210: loss 1.2857, time 398.92ms, mfu 0.94%
iter 1220: loss 1.2820, time 398.21ms, mfu 0.94%
iter 1230: loss 1.2679, time 391.87ms, mfu 0.94%
iter 1240: loss 1.2504, time 402.01ms, mfu 0.94%
iter 1250: loss 1.2799, time 403.09ms, mfu 0.94%
iter 1260: loss 1.2550, time 404.94ms, mfu 0.94%
iter 1270: loss 1.2689, time 403.23ms, mfu 0.94%
iter 1280: loss 1.3162, time 391.12ms, mfu 0.94%
iter 1290: loss 1.2527, time 395.93ms, mfu 0.94%
iter 1300: loss 1.2506, time 393.05ms, mfu 0.94%
iter 1310: loss 1.2514, time 402.68ms, mfu 0.94%
iter 1320: loss 1.2379, time 405.92ms, mfu 0.94%
iter 1330: loss 1.2563, time 415.63ms, mfu 0.93%
iter 1340: loss 1.2400, time 386.35ms, mfu 0.94%
iter 1350: loss 1.2326, time 400.58ms, mfu 0.93%
iter 1360: loss 1.2391, time 403.15ms, mfu 0.93%
iter 1370: loss 1.2455, time 421.95ms, mfu 0.93%
iter 1380: loss 1.2297, time 413.20ms, mfu 0.93%
iter 1390: loss 1.2120, time 408.43ms, mfu 0.93%
iter 1400: loss 1.2486, time 407.82ms, mfu 0.92%
iter 1410: loss 1.2600, time 393.54ms, mfu 0.93%
iter 1420: loss 1.2138, time 391.59ms, mfu 0.93%
iter 1430: loss 1.2221, time 405.94ms, mfu 0.93%
iter 1440: loss 1.2190, time 411.87ms, mfu 0.93%
iter 1450: loss 1.2194, time 432.64ms, mfu 0.92%
iter 1460: loss 1.2250, time 409.25ms, mfu 0.92%
iter 1470: loss 1.2304, time 399.53ms, mfu 0.92%
iter 1480: loss 1.2259, time 395.17ms, mfu 0.92%
iter 1490: loss 1.2286, time 434.49ms, mfu 0.92%
step 1500: train loss 1.1363, val loss 1.5862
saving checkpoint to rsi/runs/r1-data-small
iter 1500: loss 1.2039, time 43092.05ms, mfu 0.83%
iter 1510: loss 1.2690, time 415.37ms, mfu 0.83%
iter 1520: loss 1.2044, time 401.37ms, mfu 0.84%
iter 1530: loss 1.1981, time 402.76ms, mfu 0.85%
iter 1540: loss 1.2221, time 402.59ms, mfu 0.86%
iter 1550: loss 1.2498, time 420.08ms, mfu 0.86%
iter 1560: loss 1.2013, time 430.60ms, mfu 0.86%
iter 1570: loss 1.2361, time 401.94ms, mfu 0.87%
iter 1580: loss 1.1996, time 414.25ms, mfu 0.87%
iter 1590: loss 1.2208, time 411.07ms, mfu 0.88%
iter 1600: loss 1.1903, time 436.51ms, mfu 0.87%
iter 1610: loss 1.1755, time 439.04ms, mfu 0.87%
iter 1620: loss 1.1992, time 438.99ms, mfu 0.87%
iter 1630: loss 1.2187, time 521.52ms, mfu 0.85%
iter 1640: loss 1.1865, time 442.94ms, mfu 0.85%
iter 1650: loss 1.1829, time 414.24ms, mfu 0.86%
iter 1660: loss 1.2139, time 456.09ms, mfu 0.85%
iter 1670: loss 1.1833, time 430.28ms, mfu 0.85%
iter 1680: loss 1.1543, time 413.48ms, mfu 0.86%
iter 1690: loss 1.1857, time 474.12ms, mfu 0.85%
iter 1700: loss 1.1771, time 421.66ms, mfu 0.86%
iter 1710: loss 1.2169, time 429.65ms, mfu 0.86%
iter 1720: loss 1.1695, time 416.15ms, mfu 0.86%
iter 1730: loss 1.1869, time 418.89ms, mfu 0.86%
iter 1740: loss 1.1847, time 421.46ms, mfu 0.87%
iter 1750: loss 1.2049, time 471.07ms, mfu 0.86%
iter 1760: loss 1.1725, time 454.55ms, mfu 0.85%
iter 1770: loss 1.1952, time 467.86ms, mfu 0.85%
